feature,importance
cat__country of birth self_Dominican-Republic,9
cat__region of previous residence_Northeast,9
cat__state of previous residence_Alaska,9
cat__state of previous residence_Mississippi,9
cat__state of previous residence_North Dakota,9
cat__citizenship_Native- Born in Puerto Rico or U S Outlying,8
cat__country of birth father_Poland,8
cat__full or part time employment stat_Unemployed part- time,8
cat__country of birth mother_Japan,8
cat__country of birth self_Yugoslavia,8
cat__state of previous residence_Oklahoma,8
cat__state of previous residence_Alabama,8
cat__migration code-change in reg_Different state same division,7
cat__state of previous residence_Connecticut,7
cat__state of previous residence_Michigan,7
cat__migration code-move within reg_Different county same state,7
cat__migration code-move within reg_Same county,7
cat__country of birth father_Scotland,7
cat__region of previous residence_West,7
cat__country of birth mother_Scotland,6
cat__country of birth self_France,6
cat__migration code-change in msa_NonMSA to MSA,6
cat__fill inc questionnaire for veteran's admin_Not in universe,6
cat__country of birth father_Iran,6
cat__country of birth father_South Korea,6
cat__country of birth father_Cuba,6
cat__country of birth father_Mexico,6
cat__country of birth father_Hong Kong,6
cat__state of previous residence_Georgia,6
cat__country of birth father_India,6
cat__state of previous residence_North Carolina,5
cat__migration code-change in msa_MSA to nonMSA,5
cat__migration code-change in reg_Different region,5
cat__migration code-change in msa_?,5
cat__state of previous residence_Iowa,5
cat__enroll in edu inst last wk_High school,5
cat__state of previous residence_Utah,5
cat__country of birth mother_India,5
cat__race_Amer Indian Aleut or Eskimo,5
cat__country of birth father_Germany,5
cat__migration code-move within reg_Different state in Midwest,4
cat__enroll in edu inst last wk_College or university,4
cat__detailed household and family stat_In group quarters,4
cat__state of previous residence_Pennsylvania,4
cat__reason for unemployment_Job leaver,4
cat__state of previous residence_Nevada,4
cat__state of previous residence_Vermont,4
cat__education_Children,4
cat__country of birth self_Outlying-U S (Guam USVI etc),4
cat__migration code-move within reg_Different state in South,4
cat__country of birth father_Philippines,4
cat__migration code-move within reg_Nonmover,4
cat__country of birth mother_Hungary,4
cat__hispanic origin_Other Spanish,4
cat__country of birth mother_Outlying-U S (Guam USVI etc),3
