feature,importance
cat__region of previous residence_Not in universe,0.0024918457
cat__major occupation code_Executive admin and managerial,0.0024585207
cat__education_Associates degree-academic program,0.0024491707
cat__tax filer stat_Joint both 65+,0.0024367974
cat__major industry code_Other professional services,0.0024351364
cat__country of birth mother_Japan,0.002433674
cat__race_White,0.0024301016
cat__country of birth mother_El-Salvador,0.0024162945
cat__education_5th or 6th grade,0.0024154615
cat__state of previous residence_Missouri,0.00241388
cat__country of birth mother_France,0.0023868822
cat__country of birth self_England,0.0023807255
cat__country of birth father_Vietnam,0.0023654674
cat__migration code-change in reg_Different county same state,0.0023647782
cat__major industry code_Communications,0.0023602315
cat__major industry code_Transportation,0.0023582182
cat__country of birth mother_Ireland,0.0023430495
cat__country of birth self_Mexico,0.0023336925
cat__country of birth self_Peru,0.0023281563
cat__class of worker_Private,0.0023255055
cat__country of birth father_France,0.0023151282
cat__state of previous residence_Montana,0.0022919755
cat__country of birth father_Canada,0.0022855331
cat__country of birth mother_Portugal,0.002277756
cat__state of previous residence_Virginia,0.0022721107
cat__country of birth father_Italy,0.002259665
cat__country of birth father_Japan,0.002256798
cat__country of birth mother_Germany,0.002243608
cat__full or part time employment stat_PT for econ reasons usually FT,0.002238024
cat__country of birth father_Trinadad&Tobago,0.0022257187
cat__major industry code_Medical except hospital,0.0022235801
cat__full or part time employment stat_Unemployed full-time,0.0022105596
cat__detailed household and family stat_Nonfamily householder,0.0021960037
cat__hispanic origin_Puerto Rican,0.002184803
cat__country of birth father_Mexico,0.0021846108
cat__country of birth self_El-Salvador,0.0021840802
cat__country of birth father_Thailand,0.002183823
num__year,0.0021767844
cat__country of birth mother_China,0.0021751558
cat__migration code-move within reg_Different county same state,0.0021706487
cat__migration code-change in reg_Different region,0.0021649434
cat__citizenship_Foreign born- U S citizen by naturalization,0.0021621168
cat__major occupation code_Sales,0.00215796
cat__country of birth mother_?,0.00215525
cat__country of birth self_China,0.002148887
cat__region of previous residence_South,0.002142643
cat__major occupation code_Machine operators assmblrs & inspctrs,0.0021400745
cat__family members under 18_Not in universe,0.002133243
cat__detailed household and family stat_Child 18+ never marr Not in a subfamily,0.0021319652
cat__state of previous residence_Florida,0.0021309198
cat__migration code-change in msa_NonMSA to nonMSA,0.0021165435
cat__live in this house 1 year ago_No,0.0021125812
cat__full or part time employment stat_Unemployed part- time,0.0021001461
cat__major industry code_Hospital services,0.002094732
cat__detailed household and family stat_Secondary individual,0.002085255
cat__detailed household summary in household_Other relative of householder,0.002077118
num__detailed industry recode,0.0020714777
cat__state of previous residence_North Carolina,0.002060848
cat__migration code-change in msa_MSA to MSA,0.0020413788
cat__marital stat_Widowed,0.0020399988
cat__major industry code_Construction,0.0020323722
cat__marital stat_Divorced,0.0020312518
cat__member of a labor union_Yes,0.0020141406
cat__full or part time employment stat_Full-time schedules,0.002012557
cat__detailed household and family stat_RP of unrelated subfamily,0.0020097326
cat__country of birth self_Italy,0.0019956473
cat__country of birth self_Germany,0.0019827369
cat__hispanic origin_Mexican-American,0.0019826167
cat__detailed household and family stat_Other Rel 18+ never marr not in subfamily,0.0019779277
cat__family members under 18_Both parents present,0.0019677249
cat__major occupation code_Technicians and related support,0.00196212
cat__state of previous residence_Oklahoma,0.001959624
cat__country of birth mother_Outlying-U S (Guam USVI etc),0.0019530987
cat__migration code-change in msa_Nonmover,0.0019523035
cat__country of birth father_Yugoslavia,0.0019318274
cat__country of birth mother_Dominican-Republic,0.001920556
cat__country of birth self_?,0.0019102902
cat__country of birth father_Nicaragua,0.001908188
cat__country of birth mother_Italy,0.0019035843
cat__major occupation code_Adm support including clerical,0.0018995582
cat__country of birth mother_Cambodia,0.0018816297
cat__country of birth mother_Hong Kong,0.0018815325
cat__major industry code_Business and repair services,0.0018813428
cat__detailed household and family stat_Other Rel 18+ ever marr not in subfamily,0.0018791398
cat__country of birth mother_Cuba,0.0018780117
cat__citizenship_Foreign born- Not a citizen of U S ,0.0018754579
cat__education_12th grade no diploma,0.0018720245
cat__state of previous residence_New Hampshire,0.0018641577
cat__state of previous residence_Arizona,0.0018620796
cat__major industry code_Personal services except private HH,0.0018597182
cat__country of birth father_El-Salvador,0.0018385709
cat__reason for unemployment_Job loser - on layoff,0.0018373094
cat__country of birth self_Japan,0.0018364714
cat__marital stat_Married-spouse absent,0.0018324574
cat__country of birth mother_Jamaica,0.0018305812
cat__citizenship_Native- Born abroad of American Parent(s),0.0018293518
cat__country of birth father_China,0.0018278088
cat__country of birth father_Columbia,0.0018173285
cat__state of previous residence_Mississippi,0.001816261
cat__country of birth self_Hungary,0.0018077734
cat__state of previous residence_Connecticut,0.0018023045
cat__migration code-change in reg_Same county,0.0017924856
cat__country of birth self_Vietnam,0.0017815318
cat__hispanic origin_Chicano,0.0017784953
cat__country of birth father_Hungary,0.0017778361
