model,candidate_id,model_variant,roc_auc,pr_auc,weighted_log_loss
xgboost,3,xgboost_g3,0.9522316768137172,0.6827719016690755,0.11566830508074526
lightgbm,2,lightgbm_g2,0.9518049569465031,0.6822795787210855,0.11616964968887482
lightgbm,1,lightgbm_g1,0.951552287728374,0.6810009162832055,0.11611034715896114
lightgbm,3,lightgbm_g3,0.951509984989987,0.6809729639001567,0.11703327403104336
xgboost,2,xgboost_g2,0.951856386872608,0.6809357590877148,0.11586122548229612
xgboost,1,xgboost_g1,0.9514542745995304,0.6695434079998899,0.1171513479596864
catboost,2,catboost_g2,0.9449794688390325,0.6405666247581533,0.12386008137805622
catboost,1,catboost_g1,0.9431353840557954,0.6293198218969474,0.12618437758260995
catboost,3,catboost_g3,0.9413043338951312,0.618429502904001,0.12859736953632372
