scheme_key,scheme_name,n_clusters,best_k,best_score,silhouette,stability_pairwise_agreement
V1,v1_raw_feature_unsupervised,5,5,1.7219892030456334,0.38058961353095655,0.8907591727818546
V2,v2_score_augmented_classifier_informed,8,8,1.6113962967826492,0.3367622597512662,0.9745385812764065
